country,year,annual_avg_pm25
Afghanistan,2019,204.49
Afghanistan,2020,123.64
Afghanistan,2021,44.09
Algeria,2019,21.576000000000004
Algeria,2020,13.94
Algeria,2023,38.93
Antarctica,2020,23.48731666666667
Antarctica,2021,18.72902195
Argentina,2017,3.647
Argentina,2021,7.5
Argentina,2022,3.0
Argentina,2023,15.35
Armenia,2022,89.25899999999997
Armenia,2023,10.711999999999998
Australia,2017,5.16
Australia,2018,7.730999999999999
Australia,2019,62.729
Australia,2020,3.6310000000000007
Australia,2021,4.490999999999999
Australia,2022,3.272
Australia,2023,1.07
Austria,2017,9.987699999999998
Austria,2018,15.9104
Austria,2019,7.0169
Austria,2020,15.2139
Austria,2021,17.087
Austria,2022,17.691
Austria,2023,12.8238
Azerbaijan,2022,34.04
Azerbaijan,2023,19.03
Bangladesh,2017,153.87
Bangladesh,2018,140.95
Bangladesh,2019,160.83
Bangladesh,2020,186.99
Bangladesh,2021,93.31
Bangladesh,2022,172.07
Bangladesh,2023,137.98
Belgium,2022,12.625140000000002
Belgium,2023,4.888
Belize,2023,5.45
Bosnia and Herz.,2017,77.22900000000003
Bosnia and Herz.,2018,64.15100000000001
Bosnia and Herz.,2019,32.111999999999995
Bosnia and Herz.,2020,38.225
Bosnia and Herz.,2021,64.473
Bosnia and Herz.,2022,43.062000000000005
Bosnia and Herz.,2023,115.06400000000002
Brazil,2017,23.88
Brazil,2021,10.58
Brazil,2022,7.83
Brazil,2023,13.94
Bulgaria,2020,17.3757
Bulgaria,2021,10.4134
Bulgaria,2022,7.031699999999998
Bulgaria,2023,26.5349
Canada,2017,3.85
Canada,2018,0.6460000000000001
Canada,2020,1.207
Canada,2021,5.574
Canada,2022,8.975999999999999
Canada,2023,3.67
Chad,2020,64.01
Chad,2023,151.27
Chile,2017,10.1153
Chile,2018,9.3794
Chile,2020,8.9647
Chile,2021,24.15
Chile,2022,27.54
Chile,2023,18.91
China,2017,94.56
China,2018,20.86
China,2019,49.18
China,2020,29.11
China,2021,21.72
China,2022,13.53
China,2023,18.95
Colombia,2017,17.69
Colombia,2019,16.915391000000003
Colombia,2021,16.869078899999998
Colombia,2022,19.7533985
Colombia,2023,14.786708699999998
Côte d'Ivoire,2021,11.95
Croatia,2017,22.102000000000004
Croatia,2018,22.756999999999994
Croatia,2019,9.598999999999998
Croatia,2020,9.386
Croatia,2021,8.619
Croatia,2022,20.586
Croatia,2023,21.235
Cyprus,2023,24.73971404
Czechia,2017,20.98
Czechia,2018,16.4
Czechia,2019,19.86
Czechia,2020,15.62
Czechia,2021,42.56
Czechia,2022,14.64
Czechia,2023,12.758000000000004
Dem. Rep. Congo,2022,35.0
Dem. Rep. Congo,2023,25.38
Denmark,2021,14.9395
Denmark,2022,9.249999999999998
Denmark,2023,6.5295
Ecuador,2020,16.06377
Ecuador,2021,0.0
Egypt,2022,74.21
Egypt,2023,46.18
Estonia,2020,2.3836001
Estonia,2021,3.43038
Ethiopia,2018,20.52
Ethiopia,2020,16.85
Ethiopia,2023,17.03
Finland,2017,7.57
Finland,2018,4.25
Finland,2019,3.78
Finland,2020,5.446344077
Finland,2021,8.520599450999999
Finland,2022,2.942208908
Finland,2023,5.173061199
France,2017,9.3644
France,2018,14.428
France,2019,38.101
France,2020,5.234
France,2021,4.912999999999999
France,2022,13.916
France,2023,8.973999999999998
Gabon,2021,14.25
Gabon,2022,19.84
Gambia,2022,28.4521
Gambia,2023,14.69
Germany,2017,4.568072895833334
Germany,2018,11.071718600000002
Germany,2019,22.3946866
Ghana,2020,44.2
Ghana,2021,10.54
Greece,2020,10.04
Greece,2021,7.18
Greece,2022,58.28
Greece,2023,48.69
Guatemala,2019,25.49
Guatemala,2020,7.96
Guatemala,2021,24.6
Guatemala,2022,12.9
Guatemala,2023,23.29
Guinea,2020,32.94
Hungary,2018,14.134655039999997
Hungary,2019,19.56615977
Hungary,2021,134.23327403500002
Hungary,2022,17.0557188
Hungary,2023,25.99
Iceland,2020,3.13080086
Iceland,2021,4.67187369
Iceland,2022,0.6933588199999999
Iceland,2023,2.81249966
India,2017,279.59
India,2018,161.69
India,2019,57.66
India,2020,79.32
India,2021,78.36
India,2022,42.72
India,2023,121.54
Indonesia,2017,30.0
Indonesia,2018,4.12
Indonesia,2019,29.28
Indonesia,2020,12.13
Iraq,2019,64.29
Iraq,2020,57.573
Iraq,2021,62.31
Iraq,2022,58.63
Iraq,2023,48.58
Ireland,2017,6.458952220000001
Ireland,2018,7.127209738999999
Ireland,2019,9.152955007
Ireland,2020,9.731365260000002
Ireland,2021,7.133100000000001
Ireland,2022,7.6404
Ireland,2023,3.859200000000001
Israel,2017,18.998
Israel,2019,13.440000000000005
Israel,2020,12.98
Israel,2021,16.999
Italy,2017,8.445251
Italy,2019,7.91
Italy,2020,9.98
Italy,2021,9.14
Italy,2022,8.85
Italy,2023,8.53
Japan,2023,16.58
Jordan,2019,20.79
Jordan,2020,35.93
Jordan,2022,18.67
Jordan,2023,14.53
Kazakhstan,2018,25.68
Kazakhstan,2019,14.92
Kazakhstan,2020,147.49
Kazakhstan,2021,52.06
Kazakhstan,2023,3.0
Kenya,2018,0.022
Kenya,2022,14.122
Kenya,2023,10.82
Kosovo,2017,39.63
Kosovo,2018,79.87
Kosovo,2019,28.56
Kosovo,2020,18.85
Kosovo,2021,4.02
Kosovo,2022,45.42
Kosovo,2023,39.37
Kuwait,2017,51.93
Kuwait,2018,27.86
Kuwait,2019,48.16
Kuwait,2020,31.19
Kuwait,2023,33.91
Kyrgyzstan,2019,58.65
Kyrgyzstan,2020,138.46
Kyrgyzstan,2021,48.95
Kyrgyzstan,2022,18.03
Laos,2021,13.72
Laos,2022,15.76
Laos,2023,10.490000000000002
Latvia,2022,10.25586
Latvia,2023,6.1
Lithuania,2017,6.5009000091
Lithuania,2018,14.96940005
Lithuania,2019,9.772000039
Lithuania,2020,14.213099952200002
Lithuania,2021,6.349600000000001
Lithuania,2022,11.304099999999998
Lithuania,2023,6.161600022
Luxembourg,2017,8.57
Luxembourg,2018,17.56
Luxembourg,2019,15.16
Luxembourg,2020,7.19
Luxembourg,2021,5.67
Luxembourg,2022,7.76
Luxembourg,2023,5.0
Macedonia,2018,42.76719429999999
Macedonia,2019,16.565730000000002
Macedonia,2020,10.326950000000002
Macedonia,2021,0.279600104
Macedonia,2022,81.553903
Macedonia,2023,8.044999999999998
Madagascar,2020,7.3
Madagascar,2021,10.87
