country,avg_overall_happiness,avg_log_gdp_per_capita,avg_healthy_life_expectancy,avg_annual_avg_pm25
Afghanistan,4.393420002623137,7.447978390587701,48.72753694322374,124.07333333333334
Algeria,6.1137479039573375,9.498361396789551,64.11706466674805,24.81533333333333
Argentina,4.079234199848169,9.658498446146647,66.70182592218572,7.37425
Armenia,4.675656954460607,8.866785482926803,64.88221047141336,49.98549999999999
Australia,5.215258002807444,10.645590114593507,71.97761611938476,12.583428571428572
Austria,6.155729964828529,10.68477365705702,70.95700581868489,13.675814285714285
Azerbaijan,4.662560566434023,9.623171112754129,61.59320761940696,26.535
Bangladesh,4.497414117823197,7.859168139371005,60.38374224576083,149.42857142857142
Belgium,6.151334985709541,10.616379261016846,71.17295303344727,8.75657
Belize,5.537905296268651,8.98329782485962,58.60236358642578,5.45
Brazil,4.642980948467635,9.55345257845792,63.587253917347304,14.0575
Bulgaria,4.920029182871143,9.680205821990967,66.59930801391602,15.338925
Canada,5.705642002410206,10.63834623856978,71.47302038019353,3.987166666666667
Chad,3.8024998011085076,7.543025883761319,43.377355402166195,107.64000000000001
Chile,4.651162418032161,9.911846941167658,70.4958364313299,16.5099
China,4.950445652933754,9.20440301028165,68.15862759676847,35.41571428571429
Colombia,4.5133644677831475,9.346375291997736,63.21918002041903,17.20291542
Croatia,5.299017743693503,9.921454310417175,66.9143238067627,16.326285714285714
Cyprus,5.412488340329562,10.368423461914062,71.94724019368489,24.73971404
Denmark,6.081387731285878,10.682385097850453,69.58054282448508,10.239666666666666
Ecuador,5.114541625579385,9.190328684720127,66.23638707941228,8.031885
Egypt,4.533360527536572,9.185647184198553,60.59448103471236,60.19499999999999
Estonia,5.015901393569801,10.141246128082276,65.76515922546386,2.90699005
Ethiopia,4.604174281660822,7.25758810043335,55.020503234863284,18.133333333333336
Finland,5.24557641556482,10.586614714728462,70.569093492296,5.383173376428571
France,5.791250818747447,10.520207491787998,71.77260242808948,13.561485714285713
Gabon,4.928564199595686,9.810158252716064,54.94271469116211,17.045
Germany,5.24977591508195,10.638050166043369,70.36542996493253,12.678159365277779
Ghana,4.227667299235266,8.110743956132369,52.827092257413,27.37
Greece,5.89810337438987,10.2068696975708,70.62843246459961,31.0475
Guatemala,5.001642464539931,8.832413066517223,61.160129893909804,18.848000000000003
Guinea,4.259685314806817,7.065107583999634,49.366912841796875,32.94
Hungary,4.7556543672820455,10.043942546844482,65.81884651184082,42.195961529
Iceland,6.448310265899356,10.642625617980958,72.12464294433593,2.8271332575
India,3.852163046868292,8.428981347517533,57.74373349276456,117.26857142857143
Indonesia,4.6193396559845885,9.086058443242853,59.664521650834516,18.8825
Iraq,4.357232160521227,9.516974131266275,60.10154596964518,58.27660000000001
Ireland,6.1174812301963,10.773079109191894,70.72249984741211,7.300454603714286
Israel,5.866535595834896,10.31079387664795,71.6158773248846,15.60425
Italy,5.728461375805976,10.47217065637762,72.16553150523792,8.8092085
Japan,4.965451494337771,10.459041161970658,74.1350756558505,16.58
Jordan,5.0927575068333715,9.234549262306906,63.629335230047054,22.48
Kazakhstan,4.88320451933584,9.987294283780185,61.26918029785156,48.63
Kenya,4.521490181014638,7.870166951959783,51.41645570234819,8.321333333333333
Kosovo,5.285560627240104,9.024170207977296,61.11946754455566,36.53142857142857
Kuwait,6.852648152316165,11.226291868421766,64.80392710367839,38.61
Kyrgyzstan,4.453869815128427,7.972259348089045,61.406550667502664,66.02250000000001
Laos,5.005551656105556,8.220788764953614,55.01561279296875,13.323333333333332
Latvia,5.144574524295594,9.947515201568603,64.28851470947265,8.17793
Lithuania,5.15234234177401,10.053604819557883,64.14908461137252,9.895814296042857
Luxembourg,6.233847671093809,11.417062520980835,71.70285511016846,9.558571428571428
Macedonia,4.998562868459873,9.37443298763699,65.15189785427518,26.589729567333332
Madagascar,4.788358166968282,7.242781221866608,55.14255380630493,11.86
Malaysia,4.926257187551015,9.988615798950196,64.21768188476562,10.411166666666666
Mali,3.9444956065605936,7.543037796020508,47.734914016723636,60.510000000000005
Mexico,4.215468420187769,9.671638228676535,67.18531036376953,23.508285714285712
Moldova,4.3283577804761695,8.325960245999424,62.1952070756392,35.075
Mongolia,5.2132858714097425,9.148584047953287,61.25649727715386,108.426
Montenegro,4.882859471261397,9.562251091003418,65.61538781060113,13.3535
